Service,Entity Set,Data Source ID,Report Name,Description,URL Path
ana_businessanalytics_analytics.svc,RPCRMOPQU_Q0001QueryResults,CRMOPQU,Sales Analysis Pipeline,Contains all opportunities and quotes. It allows you to analyze opportunities and sales quotes by various criteria or key figures.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMOPQU_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMPOSTVBQ0002QueryResults,,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMPOSTVBQ0002QueryResults
ana_businessanalytics_analytics.svc,RPCRMPRC_CNT_REPORTQueryResults,,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMPRC_CNT_REPORTQueryResults
ana_businessanalytics_analytics.svc,RPCRMQUFU_MQ0001QueryResults,CRMQUFU,Sales Quote Funnel,Contains data on the development of sales quotes. It allows you to analyze and monitor the progress of sales quotes across organizational units.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMQUFU_MQ0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMQUFU_Q0001QueryResults,CRMQUFU,Sales Quote Funnel,Contains data on the development of sales quotes. It allows you to analyze and monitor the progress of sales quotes across organizational units.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMQUFU_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMRVFU_Q0001QueryResults,CRMRVFU,Revenue Forecast Data,Shows the revenue from various business transaction documents including opportunities.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMRVFU_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSCFIB01_Q0001QueryResults,CRMSCFIB01,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSCFIB01_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSCU_Q0001QueryResults,CRMSCU,Used Service Categories,"Contains all parameters and values of service categories. It allows you to analyze how often a certain service category has been used in service processes, for example in service requests, service orders and in the knowledge base.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSCU_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSHSCIB_Q0001QueryResults,CRMSHSCIB,Service Order Header & Service Confirmation Item,Contains service confirmations for service items originating from service orders.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSHSCIB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSLOIB01_Q0001QueryResults,CRMSLOIB01,Sales Order Item-Extended,Contains data on the quantities and values of sales order items. It allows you to analyze the development and distribution of sales order items across organizational units.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSLOIB01_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSLOIB_MMCNQ0001QueryResults,,,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSLOIB_MMCNQ0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSLOIB_MQ0001QueryResults,CRMSLOIB,Sales Order Item,Contains data on the quantities and values of sales order items. It allows you to analyze the development and distribution of sales order items across organizational units.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSLOIB_MQ0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSLOIB_Q0001QueryResults,CRMSLOIB,Sales Order Item,Contains data on the quantities and values of sales order items. It allows you to analyze the development and distribution of sales order items across organizational units.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSLOIB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSLOIPATCB_Q0001QueryResults,CRMSLOIPATCB,Sales Order Item with Price Components,"Contains data on the quantities and values of sales order items. It allows you to analyze the development and distribution of sales order items across organizational units , along with details about the price components like price, discount, freight, surcharge, goodwill, warranty, quality loss fee, cost estimate, profit margin. also provides information like is the price component is manullay changed or automatically determined, what prices are proposed by the system and which is the active price, base value of each price component calculation for price, discount, freight, surcharge. Calculation of total discount , total tax value .",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSLOIPATCB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSLSCIB_Q0001QueryResults,CRMSLSCIB,Sales Order Item & Service Confirmation Item,Contains service confirmations for service items originating from sales orders. It helps you to analyze the ordered and the confirmed quantities.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSLSCIB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSOCRTU_MQ0001QueryResults,CRMSOCRTU,Customer Returns,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSOCRTU_MQ0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSOCRTU_Q0001QueryResults,CRMSOCRTU,Customer Returns,,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSOCRTU_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSOCU01_Q0001QueryResults,CRMSOCU01,Service Order and Service Confirmation,Contains service order and service confirmation header and item data. It helps you to track the ordered and the confirmed  quantities and due date compliance.,sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSOCU01_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSORHB_Q0001QueryResults,CRMSORHB,Service Order Header,"Contains values of service orders in total. It allows you to analyze status, workload and responsibility for the organizational units and to calculate due date compliance and usage of service categories and warranties.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSORHB_Q0001QueryResults
ana_businessanalytics_analytics.svc,RPCRMSORHB_Q0002QueryResults,CRMSORHB,Service Order Header,"Contains values of service orders in total. It allows you to analyze status, workload and responsibility for the organizational units and to calculate due date compliance and usage of service categories and warranties.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSORHB_Q0002QueryResults
ana_businessanalytics_analytics.svc,RPCRMSORHB_Q0003QueryResults,CRMSORHB,Service Order Header,"Contains values of service orders in total. It allows you to analyze status, workload and responsibility for the organizational units and to calculate due date compliance and usage of service categories and warranties.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSORHB_Q0003QueryResults
ana_businessanalytics_analytics.svc,RPCRMSORHB_Q0004QueryResults,CRMSORHB,Service Order Header,"Contains values of service orders in total. It allows you to analyze status, workload and responsibility for the organizational units and to calculate due date compliance and usage of service categories and warranties.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSORHB_Q0004QueryResults
ana_businessanalytics_analytics.svc,RPCRMSORHB_Q0005QueryResults,CRMSORHB,Service Order Header,"Contains values of service orders in total. It allows you to analyze status, workload and responsibility for the organizational units and to calculate due date compliance and usage of service categories and warranties.",sap/byd/odata/ana_businessanalytics_analytics.svc/RPCRMSORHB_Q0005QueryResults
